objectid,filename,title,volume,creator,month/season,date_exact,date,source,identifier,type,collection,format
football-1901s,https://archives.nd.edu/Football/Football-1901s.pdf,Notre Dame Scholastic Football Review - 1901,,University of Notre Dame Archives,,,1901,https://archives.nd.edu/Football/Football-1901s.pdf,football-1901s,Review,Football Review,application/pdf
football-1902s,https://archives.nd.edu/Football/Football-1902s.pdf,Notre Dame Scholastic Football Review - 1902,,University of Notre Dame Archives,,,1902,https://archives.nd.edu/Football/Football-1902s.pdf,football-1902s,Review,Football Review,application/pdf
football-1903s,https://archives.nd.edu/Football/Football-1903s.pdf,Notre Dame Scholastic Football Review - 1903,,University of Notre Dame Archives,,,1903,https://archives.nd.edu/Football/Football-1903s.pdf,football-1903s,Review,Football Review,application/pdf
football-1904s,https://archives.nd.edu/Football/Football-1904s.pdf,Notre Dame Scholastic Football Review - 1904,,University of Notre Dame Archives,,,1904,https://archives.nd.edu/Football/Football-1904s.pdf,football-1904s,Review,Football Review,application/pdf
football-1905s,https://archives.nd.edu/Football/Football-1905s.pdf,Notre Dame Scholastic Football Review - 1905,,University of Notre Dame Archives,,,1905,https://archives.nd.edu/Football/Football-1905s.pdf,football-1905s,Review,Football Review,application/pdf
football-1906s,https://archives.nd.edu/Football/Football-1906s.pdf,Notre Dame Scholastic Football Review - 1906,,University of Notre Dame Archives,,,1906,https://archives.nd.edu/Football/Football-1906s.pdf,football-1906s,Review,Football Review,application/pdf
football-1907s,https://archives.nd.edu/Football/Football-1907s.pdf,Notre Dame Scholastic Football Review - 1907,,University of Notre Dame Archives,,,1907,https://archives.nd.edu/Football/Football-1907s.pdf,football-1907s,Review,Football Review,application/pdf
football-1908s,https://archives.nd.edu/Football/Football-1908s.pdf,Notre Dame Scholastic Football Review - 1908,,University of Notre Dame Archives,,,1908,https://archives.nd.edu/Football/Football-1908s.pdf,football-1908s,Review,Football Review,application/pdf
football-1909s,https://archives.nd.edu/Football/Football-1909s.pdf,Notre Dame Scholastic Football Review - 1909,,University of Notre Dame Archives,,,1909,https://archives.nd.edu/Football/Football-1909s.pdf,football-1909s,Review,Football Review,application/pdf
football-1910,https://archives.nd.edu/Football/Football-1910.pdf,Notre Dame Gridiron Season - 1910,,University of Notre Dame Archives,,,1910,https://archives.nd.edu/Football/Football-1910.pdf,football-1910,Review,Football Review,application/pdf
